 lat, lon
35.74489975,-86.74890137
27.83329964,-81.71700287
35.74489975,-86.74890137
35.64110184,-79.8431015
39.07239914,-76.79019928
42.14970016,-74.93840027
40.57730103,-77.26399994
36.16999817,-119.7462006
31.1060009,-97.64749908
31.1060009,-97.64749908
41.90000153,-87.65000153
36.16999817,-119.7462006
36.16999817,-119.7462006
36.16999817,-119.7462006
36.16999817,-119.7462006
31.1060009,-97.64749908
41.90000153,-87.65000153
27.83329964,-81.71700287
27.83329964,-81.71700287
27.83329964,-81.71700287
36.16999817,-119.7462006
42.00460052,-93.21399689
35.64110184,-79.8431015
27.83329964,-81.71700287
33.93000031,-118.4000015
35.53760147,-96.92469788
43.35039902,-84.56030273
38.46229935,-92.30200195
33.65000153,-84.41999817
36.16999817,-119.7462006
27.83329964,-81.71700287
26.57999992,-81.87000275
32.79899979,-86.80729675
34.27000046,-77.91999817
31.1060009,-97.64749908
33.65000153,-84.41999817
36.11999893,-86.68000031
30.53000069,-91.15000153
42.41999817,-83.01999664
27.83329964,-81.71700287
31.1060009,-97.64749908
36.16999817,-119.7462006
27.39999962,-82.55000305
47.39170074,-121.5708008
35.81999969,-83.98000336
37.76800156,-78.20570374
36.16999817,-119.7462006
40.77000046,-73.98000336
37.76800156,-78.20570374
36.11999893,-86.68000031
40.57730103,-77.26399994
30.78000069,-83.27999878
36.11999893,-86.68000031
33.81909943,-80.90660095
27.83329964,-81.71700287
35.74489975,-86.74890137
32.98659897,-83.6486969
36.11999893,-86.68000031
40.77000046,-73.98000336
36.16999817,-119.7462006
34.27000046,-77.91999817
28.43000031,-81.31999969
32.98659897,-83.6486969
27.97535515,-82.82767487
35.53760147,-96.92469788
42.14970016,-74.93840027
41.8368988,-87.68440247
40.31399918,-74.5089035
40.77000046,-73.98000336
39.0646019,-105.3272018
38.89509964,-77.03669739
28.43000031,-81.31999969
38.46229935,-92.30200195
35.64110184,-79.8431015
36.16999817,-119.7462006
41.67720032,-71.51010132
37.76800156,-78.20570374
27.97535515,-82.82767487
41.8368988,-87.68440247
27.83329964,-81.71700287
27.83329964,-81.71700287
41.58340073,-72.7621994
44.60739899,-69.39769745
33.74890137,-84.38809967
35.64110184,-79.8431015
35.74489975,-86.74890137
36.16999817,-119.7462006
30.29999924,-97.69999695
33.81909943,-80.90660095
33.74890137,-84.38809967
40.77000046,-73.98000336
